time	species	prob	err
Fri Mar 24 16:06:38 AEST 2017	Enterococcus faecalis	0.07160535248528448	0.03249192354134706
Fri Mar 24 16:06:38 AEST 2017	Escherichia coli	0.19937588703548004	0.032491923541347056
Fri Mar 24 16:06:52 AEST 2017	Halobacillus halophilus	0.09473618855521632	0.03085697833454268
Fri Mar 24 16:06:52 AEST 2017	Staphylococcus epidermidis	0.042471380192846984	0.030856978334542685
Fri Mar 24 16:06:52 AEST 2017	Chromobacterium violaceum	0.10054338948436845	0.030856978334542665
Fri Mar 24 16:06:52 AEST 2017	Pseudomonas TKP	0.04827858112199913	0.030856978334542685
Fri Mar 24 16:06:52 AEST 2017	Bacillus subtilis	0.20158868565161583	0.03085697833454268
Fri Mar 24 16:06:52 AEST 2017	Pseudomonas fluorescens	0.11099635115684234	0.030856978334542692
Fri Mar 24 16:06:52 AEST 2017	Micrococcus luteus	0.036664179263694835	0.030856978334542685
Fri Mar 24 16:06:52 AEST 2017	Pseudoalteromonas SM9913	0.09938194929853802	0.03085697833454268
Fri Mar 24 16:06:52 AEST 2017	Enterococcus faecalis	0.0703459446527773	0.030856978334542692
Fri Mar 24 16:06:52 AEST 2017	Escherichia coli	0.20042724546578541	0.03085697833454268
Fri Mar 24 16:07:04 AEST 2017	Halobacillus halophilus	0.09346481055274176	0.02921610588952933
Fri Mar 24 16:07:04 AEST 2017	Staphylococcus epidermidis	0.04372387791025473	0.029216105889529338
Fri Mar 24 16:07:04 AEST 2017	Chromobacterium violaceum	0.09968242713305264	0.02921610588952933
Fri Mar 24 16:07:04 AEST 2017	Pseudomonas TKP	0.04786895563046198	0.029216105889529338
Fri Mar 24 16:07:04 AEST 2017	Bacillus subtilis	0.20020056184807855	0.02921610588952933
Fri Mar 24 16:07:04 AEST 2017	Pseudomonas fluorescens	0.1121176602936744	0.029216105889529317
Fri Mar 24 16:07:04 AEST 2017	Micrococcus luteus	0.03336118360973658	0.02921610588952933
Fri Mar 24 16:07:04 AEST 2017	Pseudoalteromonas SM9913	0.09553734941284539	0.02921610588952933
Fri Mar 24 16:07:04 AEST 2017	Enterococcus faecalis	0.07066688309160186	0.02921610588952933
Fri Mar 24 16:07:04 AEST 2017	Escherichia coli	0.20434563956828583	0.02921610588952933
Fri Mar 24 16:07:21 AEST 2017	Halobacillus halophilus	0.09610648753997461	0.027754427614880978
Fri Mar 24 16:07:21 AEST 2017	Staphylococcus epidermidis	0.04273570102312068	0.02775442761488098
Fri Mar 24 16:07:21 AEST 2017	Chromobacterium violaceum	0.0970428171279896	0.027754427614880978
Fri Mar 24 16:07:21 AEST 2017	Pseudomonas TKP	0.04835367855121057	0.02775442761488098
Fri Mar 24 16:07:21 AEST 2017	Bacillus subtilis	0.19816641263360757	0.027754427614880978
Fri Mar 24 16:07:21 AEST 2017	Pseudomonas fluorescens	0.11108776094821432	0.027754427614880978
Fri Mar 24 16:07:21 AEST 2017	Micrococcus luteus	0.03899038267106075	0.02775442761488098
Fri Mar 24 16:07:21 AEST 2017	Pseudoalteromonas SM9913	0.09236116918791469	0.027754427614880978
Fri Mar 24 16:07:21 AEST 2017	Enterococcus faecalis	0.07363457742761506	0.027754427614880978
Fri Mar 24 16:07:21 AEST 2017	Escherichia coli	0.20659337892574242	0.027754427614881005
Fri Mar 24 16:07:36 AEST 2017	Halobacillus halophilus	0.09842105564135473	0.026503247422176635
Fri Mar 24 16:07:36 AEST 2017	Staphylococcus epidermidis	0.04277037070984788	0.02650324742217664
Fri Mar 24 16:07:36 AEST 2017	Chromobacterium violaceum	0.10355804194272458	0.026503247422176635
